NOM_MUN_COMPO,CODE_POSTAL_COMPO,PLACE_TOTAL_POUPON,PLACE_TOTAL,CODE_REGION_COMPO,INTERNET,PROVINCE,NOM,TYPE,REGION,ADRESSE,SUBV,telephone1,TELECOPIEUR1
Québec,G2A 1Y3,15,57,3,garderiedesexplorateurs@gmail.com,QC,GARDERIE DES EXPLORATEURS,GARD,3 - Capitale-Nationale,"10880, rue Élisabeth II",,(418) 845-9191,
Québec,G1S 1K3,0,36,3,info@garderiedespetitsgouverneurs.com,QC,GARDERIE DES PETITS GOUVERNEURS INC.,GARD,3 - Capitale-Nationale,"1620, rue Sheppard",,(418) 681-5255,
Québec,G1L 1E2,0,34,3,garderiedessaules@videotron.ca,QC,GARDERIE DES SAULES INC.,GARD,3 - Capitale-Nationale,"98, rue des Saules Ouest",CR,(418) 627-2234,(418) 627-2696
Québec,G1V 0E5,10,79,3,garderielpc2017@gmail.com,QC,GARDERIE ET ACADÉMIE LES PETITS CHAMPIONS INC.,GARD,3 - Capitale-Nationale,"2880, Chemin Ste-Foy, local 100",,(514) 692-9075,
Québec,G2B 3L5,0,60,3,garderiefleursdeschamps@hotmail.com,QC,GARDERIE FLEURS DES CHAMPS INC.,GARD,3 - Capitale-Nationale,"10685, boulevard de l'Ormière",CR,(418) 845-3146,(418) 845-3156
Québec,G2B 3Z2,0,42,3,garderiegavroche@hotmail.com,QC,GARDERIE GAVROCHE INC.,GARD,3 - Capitale-Nationale,"9590, rue Saint-Maurice",CR,(418) 842-6643,(418) 842-0929
Québec,G2L 1X2,5,54,3,garderiegronigo@hotmail.com,QC,GARDERIE GRONIGO INC.,GARD,3 - Capitale-Nationale,"975, avenue du Bourg-Royal",CR,(418) 622-3824,(418) 622-0348
Québec,G1V 3V9,5,31,3,ceman1094@yahoo.com,QC,GARDERIE L'ARCHE DE NOÉ,GARD,3 - Capitale-Nationale,"1094, route de l'Église",CR,(418) 658-8555,
Québec,G1P 1K1,0,70,3,oasisenfantin@hotmail.com,QC,GARDERIE L'OASIS ENFANTIN INC.,GARD,3 - Capitale-Nationale,"3610, boulevard Masson",CR,(418) 871-8749,
Québec,G1G 6K3,20,80,3,janickcyr@hotmail.com,QC,GARDERIE L'ODYSSÉE DU PAPILLON INC.,GARD,3 - Capitale-Nationale,"20105, boulevard Henri-Bourassa",CR,(418) 316-2473,
Québec,G1P 1H6,6,58,3,garderierose@hotmail.fr,QC,GARDERIE L'ÉLÉPHANT ROSE ENR.,GARD,3 - Capitale-Nationale,"5718, avenue Banville, bureau 2",CR,(418) 871-2711,
Québec,G2A 1V9,0,80,3,leveildesarts@videotron.ca,QC,GARDERIE L'ÉVEIL DES ARTS INC.,GARD,3 - Capitale-Nationale,"1970, rue Auguste-Renoir",CR,(418) 842-3478,
Québec,G1C 4B5,5,49,3,laboiteauxcouleurs@videotron.ca,QC,GARDERIE LA BOÎTE AUX COULEURS INC.,GARD,3 - Capitale-Nationale,"520B, avenue Nordique",CR,(418) 661-0071,
Québec,G1L 4A5,0,28,3,charlotteleblond@sympatico.ca,QC,GARDERIE LA BOÎTE À MALICES,GARD,3 - Capitale-Nationale,"2980, avenue du Colisée",CR,(418) 626-4009,(418) 626-4009
Québec,G1B 2T2,15,61,3,dominikbergeron@hotmail.com,QC,GARDERIE LA FORÊT ENCHANTÉE,GARD,3 - Capitale-Nationale,"787, rue Seigneuriale",CR,(418) 663-4165,
Québec,G2N 1L3,10,62,3,garderie.maison-boite-a-surprise@hotmail.com,QC,GARDERIE LA MAISON BOÎTE À SURPRISES INC.,GARD,3 - Capitale-Nationale,"265, rue George-Muir",,(418) 316-5515,
Québec,G1C 1C4,20,80,3,info@glmde.com,QC,GARDERIE LA MAISON DES ENFANTS INC.,GARD,3 - Capitale-Nationale,"2642, boulevard Louis XIV",,(581) 741-3905,
Québec,G3G 1R3,0,19,3,villeneuvemarc@hotmail.com,QC,GARDERIE LA MÈRE VEILLEUSE,GARD,3 - Capitale-Nationale,"466, rue Elmire",CR,(418) 849-3268,
Québec,G2B 1B8,15,79,3,robine_K@hotmail.com,QC,GARDERIE LA PETITE ESCALE INC.,GARD,3 - Capitale-Nationale,"2065, boulevard Bastien",,(418) 563-5823,
Québec,G1W 0C4,15,80,3,garderielaplumedor@gmail.com,QC,GARDERIE LA PLUME D'OR,GARD,3 - Capitale-Nationale,"1015, avenue Wilfrid-Pelletier, local 110",,(581) 984-5525,(418) 651-8525
Québec,G2K 2E4,20,80,3,garderieldf@gmail.com,QC,GARDERIE LA REINE DES GLACES 3 INC.,GARD,3 - Capitale-Nationale,"1255, boulevard Lebourgneuf, local 150",,"(418) 527-0561, poste 1",
Québec,G1V 0C1,15,80,3,garderierdg4@gmail.com,QC,GARDERIE LA REINE DES GLACES 4 INC.,GARD,3 - Capitale-Nationale,"2820, boulevard Laurier, tour 3, bureau 470",,(418) 659-4204,
Québec,G1V 0C1,15,80,3,garderierdg5@gmail.com,QC,GARDERIE LA REINE DES GLACES 5 INC.,GARD,3 - Capitale-Nationale,"2820, boulevard Laurier, tour 3, bureau 460",,(418) 659-4204,
Québec,G1M 3M2,15,80,3,garderieqc@gmail.com,QC,GARDERIE LA REINE DES GLACES INC.,GARD,3 - Capitale-Nationale,"155, rue Fortin, local 100",,(418) 527-0561,(418) 991-0605
Québec,G2N 2K8,5,39,3,chateaumagique@hotmail.com,QC,GARDERIE LE CHÂTEAU MAGIQUE,GARD,3 - Capitale-Nationale,"16375, chemin de la Grande-Ligne",,(418) 841-2662,
Québec,G2C 0J1,15,67,3,jardinenchante@live.ca,QC,GARDERIE LE JARDIN ENCHANTÉ INC.,GARD,3 - Capitale-Nationale,"2190, rue de la Rive-Boisée Nord",,(418) 955-2850,(418) 840-9455
Québec,G1H 5J5,0,36,3,jardinmagique@live.ca,QC,GARDERIE LE JARDIN MAGIQUE,GARD,3 - Capitale-Nationale,"448, 46e Rue Ouest",CR,(418) 626-8663,(418) 626-7471
Québec,G1G 4Z4,10,54,3,nadine.cyr@lemondedespetitspieds.ca,QC,GARDERIE LE MONDE DES PETITS PIEDS INC.,GARD,3 - Capitale-Nationale,"8580, boulevard Cloutier",,(581) 318-2160,
Québec,G2C 0C8,15,67,3,mondeenchante@hotmail.com,QC,GARDERIE LE MONDE ENCHANTÉ INC.,GARD,3 - Capitale-Nationale,"2700, avenue Chauveau",,(418) 840-0884,(418) 840-9455
Québec,G1N 3W2,0,48,3,lepetitmenuet@live.ca,QC,GARDERIE LE PETIT MENUET INC.,GARD,3 - Capitale-Nationale,"149, rue Gamelin",,(418) 914-3931,(418) 529-1059
Québec,G1V 1R5,10,78,3,leranchdesamis@gmail.com,QC,GARDERIE LE RANCH DES AMIS INC.,GARD,3 - Capitale-Nationale,"2071, chemin Ste-Foy",,(418) 934-8285,
Québec,G1E 1Z4,10,77,3,direction@garderielesoleil.com,QC,GARDERIE LE SOLEIL,GARD,3 - Capitale-Nationale,"728, avenue Royale",,(418) 667-0111,
Québec,G2C 1P6,0,33,3,info@alexetfanny.com,QC,GARDERIE LES AMIS D'ALEX ET FANNY,GARD,3 - Capitale-Nationale,"7028, rue des Brumes",CR,(418) 842-1953,
Québec,G1J 4G5,15,23,3,lesamisdejoanie@outlook.com,QC,GARDERIE LES AMIS DE JOANIE,GARD,3 - Capitale-Nationale,"2675, avenue de la Ronde",,(418) 932-2551,(418) 914-1890
Québec,G2M 0C9,5,13,3,julieplamondon1961@hotmail.com,QC,GARDERIE LES AMIS DE LA FORÊT INC.,GARD,3 - Capitale-Nationale,"910, boulevard du Lac",,(418) 575-0952,(418) 848-1295
Québec,G1L 1J8,0,41,3,,QC,GARDERIE LES COMPLICES,GARD,3 - Capitale-Nationale,"90, rue des Pins Ouest",,(418) 627-9351,(418) 627-9351
Québec,G3J 1G5,5,47,3,garderielesgamins@videotron.ca,QC,GARDERIE LES GAMINS INC.,GARD,3 - Capitale-Nationale,"1310, boulevard Pie-XI Nord",CR,(418) 845-5763,(418) 845-6384
Québec,G2B 1G3,5,23,3,garderielesmeduses@hotmail.fr,QC,GARDERIE LES MÉDUSES INC.,GARD,3 - Capitale-Nationale,"465, rue Racine",,(418) 915-5414,
Québec,G1Y 3L7,0,16,3,les_ptits_chatons@yahoo.fr,QC,GARDERIE LES P'TITS CHATONS INC.,GARD,3 - Capitale-Nationale,"1108, rue Élisabeth-Becker",CR,(418) 657-2706,
Québec,G1C 7T3,0,52,3,perronmartine@hotmail.com,QC,GARDERIE LES P'TITS MOUSSES DE BEAUPORT,GARD,3 - Capitale-Nationale,"2590, boulevard Louis-XIV",CR,(418) 666-0577,
Québec,G1G 3Z5,5,31,3,garderielesptitspious@gmail.com,QC,GARDERIE LES P'TITS PIOUS INC.,GARD,3 - Capitale-Nationale,"15059, boulevard Henri-Bourassa",,(418) 626-2222,
Québec,G2B 3L5,10,44,3,garderiefleursdeschamps@hotmail.com,QC,GARDERIE LES PETITES FLEURS ENR.,GARD,3 - Capitale-Nationale,"10685, boulevard de l'Ormière, bureau 100",CR,(418) 845-3146,(418) 845-3156
Québec,G1H 2X3,0,22,3,garderielespetitesorteils@hotmail.com,QC,GARDERIE LES PETITES ORTEILS INC.,GARD,3 - Capitale-Nationale,"7133, 1re Avenue",,(418) 614-3410,
Québec,G1V 1Y4,15,80,3,garderielespetitsbourgeois@gmail.com,QC,GARDERIE LES PETITS BOURGEOIS,GARD,3 - Capitale-Nationale,"2900, Chemin des Quatre-Bourgeois",,(418) 455-0304,(581) 742-1259
Québec,G3K 1A9,0,12,3,Dany.Francoeur@dsf.ca,QC,GARDERIE LES PETITS EXPLORATEURS,GARD,3 - Capitale-Nationale,"2623, route de l'Aéroport",CR,(418) 561-0369,
Québec,G1H 3E1,0,60,3,petitslutinscharl@gmail.com,QC,GARDERIE LES PETITS LUTINS DE CHARLESBOURG LTÉE,GARD,3 - Capitale-Nationale,"7020, boulevard Henri-Bourassa",CR,(418) 623-8167,(418) 623-3528
Québec,G2M 0E1,10,53,3,julieplamondon1961@hotmail.com,QC,GARDERIE LES PETITS MOSQUITOS,GARD,3 - Capitale-Nationale,"345, boulevard du Lac",CR,(418) 849-2351,(418) 848-1295
Québec,G1Y 1R7,5,13,3,andree_anne_regis@hotmail.com,QC,GARDERIE LES PETITS PINSONS,GARD,3 - Capitale-Nationale,"1339, rue Provancher",,,
Québec,G1K 7R1,10,78,3,isabelle@lespommettesrouges.com,QC,GARDERIE LES POMMETTES ROUGES INC.,GARD,3 - Capitale-Nationale,"300, rue Saint-Paul, local 230",,(418) 643-3111,(418) 643-3111
Québec,G2G 1R7,10,62,3,primeveres1890@hotmail.com,QC,GARDERIE LES PRIMEVÈRES,GARD,3 - Capitale-Nationale,"1890, boulevard Auclair",CR,(418) 871-0066,(418) 871-5155
Québec,G1C 1A4,0,18,3,hijianghua@hotmail.com,QC,GARDERIE LES SAISONS IMAGINAIRES,GARD,3 - Capitale-Nationale,"2255, boulevard Louis-XIV, local 101",,(418) 666-4044,(418) 666-4786
Québec,G1Y 1R6,5,34,3,lestournesolsgarderie@gmail.com,QC,GARDERIE LES TOURNESOLS,GARD,3 - Capitale-Nationale,"1320, rue Provancher",CR,(418) 658-3008,
Québec,G1T 1Y3,10,37,3,philippe_richard65@videotron.ca,QC,GARDERIE LES ÉTOILES FILANTES,GARD,3 - Capitale-Nationale,"1011, Avenue Maguire",,(418) 580-8188,
Québec,G2B 1L4,5,38,3,respgarderies.caaq@videotron.ca,QC,GARDERIE MIKUENISS - PETITE PLUME,GARD,3 - Capitale-Nationale,"234, rue Louis IX, suite 101",,"(418) 843-5818, poste 238",
Québec,G2B 3L1,10,80,3,info@gmms.ca,QC,GARDERIE MOI MES SOULIERS LORETTEVILLE,GARD,3 - Capitale-Nationale,"9850, boulevard de l'Ormière",,(581) 450-4667,(581) 450-4668
Québec,G3E 1H7,0,75,3,st-emile@gmms.ca,QC,GARDERIE MOI MES SOULIERS ST-ÉMILE,GARD,3 - Capitale-Nationale,"1421, avenue Lapierre",,(418) 407-1488,(418) 407-1411
Québec,G1C 1A4,5,57,3,hijianghua@hotmail.com,QC,GARDERIE MONSIEUR LE CHAT,GARD,3 - Capitale-Nationale,"2255, boulevard Louis-XIV, local 106",CR,(418) 666-4044,(418) 666-4786
Québec,G1J 3S2,30,80,3,direction.educatot@gmail.com,QC,GARDERIE MONTESSORI ÉDUCATÔT INC.,GARD,3 - Capitale-Nationale,"825, boulevard des Capucins, bureau 101",,(418) 523-5555,
Québec,G1P 1K2,20,52,3,petitsratons@hotmail.com,QC,GARDERIE PETITS RATONS,GARD,3 - Capitale-Nationale,"3745, boulevard Masson",,(581) 741-6777,(581) 741-6777
Québec,G3K 1J4,5,31,3,benoitgarneau@hotmail.com,QC,GARDERIE PIROUETTE-CACAHOUÈTE INC.,GARD,3 - Capitale-Nationale,"1155, boulevard Pie-XI Sud",,(418) 915-7213,
Québec,G3E 1X3,20,80,3,info@royaumedefanfan.com,QC,GARDERIE POUPONNIÈRE AU ROYAUME DE FANFAN,GARD,3 - Capitale-Nationale,"6137, rue du Pomerol",CR,(418) 845-2416,(418) 845-2326
Québec,G3J 0E6,10,43,3,valbelair@garderielapetiteescabelle.com,QC,GARDERIE PRIVÉE LA PETITE ESCABELLE INC.,GARD,3 - Capitale-Nationale,"1770, boulevard Pie-XI Nord, suite 3",,(418) 407-1202,
Québec,G2M 0C9,5,80,3,julieplamondon1961@hotmail.com,QC,GARDERIE PRÉ-MATERNELLE LES AMIS DU LAC,GARD,3 - Capitale-Nationale,"910, boulevard du Lac",CR,(418) 849-4668,(418) 849-4668
Québec,G1X 4K3,10,80,3,admin@garderierevesdenfant.com,QC,GARDERIE RÊVES D'ENFANT,GARD,3 - Capitale-Nationale,"931, avenue Robert-L.-Séguin",CR,(418) 872-6381,(418) 872-5296
Québec,G1G 5A2,5,38,3,garderietweety@videotron.ca,QC,GARDERIE TWEETY,GARD,3 - Capitale-Nationale,"8715, boulevard Cloutier",CR,(418) 627-9994,(418) 627-2611
Québec,G2K 0B8,10,78,3,croque-nature@hotmail.com,QC,GARDERIE ÉCOLOGIQUE CROQUE-NATURE,GARD,3 - Capitale-Nationale,"2000, boulevard Lebourgneuf, bureau 100",,(418) 842-0002,(418) 842-0002
Québec,G2J 0B9,10,78,3,garderielebourgneuf@hotmail.es,QC,GARDERIE ÉDUCATIVE AUTOUR DU MONDE INC.,GARD,3 - Capitale-Nationale,"825, boulevard Lebourgneuf, bureau 409",,(418) 624-4567,(418) 624-8825
Québec,G1S 3L2,5,29,3,rtagherbit@hotmail.com,QC,GARDERIE ÉDUCATIVE LES AURES INC.,GARD,3 - Capitale-Nationale,"924, avenue Cardinal-Rouleau, app. 1",,(418) 681-7131,
Québec,G2K 1E6,5,55,3,francequirion@hotmail.com,QC,GARDERIE ÉDUCATIVE LES RAYONS DE SOLEIL,GARD,3 - Capitale-Nationale,"1160, boulevard Bastien",,(418) 704-3339,
Québec,G1G 4C3,15,45,3,info@hemispher-e.com,QC,"HÉMISPHÈR-E, ESPACES PRÉSCOLAIRES VOLET GARDERIE",GARD,3 - Capitale-Nationale,"8570, 1re Avenue",,(418) 456-1122,
Québec,G1G 4C3,0,80,3,info@hemispher-e.com,QC,"HÉMISPHÈR-E, ESPACES PRÉSCOLAIRES VOLET PRESCOLAIRE",GARD,3 - Capitale-Nationale,"8570, 1re Avenue",,(418) 456-1122,
Québec,G2E 3G2,10,54,3,info.baluchon@cpepetitbaluchon.com,QC,INSTALLATION - LE PETIT BALUCHON,CPE,3 - Capitale-Nationale,"2180, avenue Notre-Dame",CR,(418) 872-4825,(418) 872-3418
Québec,G3K 1G2,15,67,3,info.baluchon@cpepetitbaluchon.com,QC,INSTALLATION - LES MOUSSAILLONS DU BALUCHON,CPE,3 - Capitale-Nationale,"1384, avenue de l'Amiral",CR,"(418) 845-8838, poste 101",(418) 845-3176
Québec,G3J 1H2,10,54,3,claude.r@cpeaucoeurenfantin.com,QC,INSTALLATION AU COEUR DE LA NATURE,CPE,3 - Capitale-Nationale,"1387, Boulevard Pie-XI Nord",CR,(418) 840-1077,(418) 840-9956
Québec,G1V 3V9,0,68,3,dg@cpemesamismillepattes.ca,QC,INSTALLATION AUX MILLE-PATTES,CPE,3 - Capitale-Nationale,"1000, route de l'Église, bureau 100",CR,(418) 659-1383,(418) 659-7193
Québec,G1E 7G9,15,67,3,coliva@cpelacourtepointe.ca,QC,INSTALLATION CLÉ DE SOL,CPE,3 - Capitale-Nationale,"2400, avenue d'Estimauville, local 1200",CR,(418) 663-5858,(418) 663-4862
Québec,G1E 6V2,10,70,3,information@cpeseigneuriale.com,QC,INSTALLATION L'ÉVEIL ENFANTIN,CPE,3 - Capitale-Nationale,"199, rue Saint-Jules",CR,(418) 663-4073,(418) 663-9363
Québec,G1G 4V5,0,60,3,info@cpelachanterelle.ca,QC,INSTALLATION LA CHANTERELLE,CPE,3 - Capitale-Nationale,"9785, avenue de Soissons",CR,(418) 626-7752,(418) 626-6620
Québec,G1V 4M1,0,43,3,direction@cpecourdemistigri.com,QC,INSTALLATION LA PETITE COUR,CPE,3 - Capitale-Nationale,"1200, route de l'Église",CR,"(418) 651-7338, poste 1",(418) 651-7338
Québec,G1S 1G4,5,65,3,dg@cpeauxdeuxpignons.com,QC,INSTALLATION LE CHÂTEAU DE SABLE,CPE,3 - Capitale-Nationale,"1567, Chemin St-Louis",CR,(418) 683-0416,(418) 683-0463
Québec,G2N 1E2,10,44,3,info@cpelachanterelle.ca,QC,INSTALLATION LE CLIN D'OEIL,CPE,3 - Capitale-Nationale,"768, rue Jacques-Bédard",CR,"(418) 841-0279, poste 202",(418) 841-3566
Québec,G1V 2P6,0,65,3,dg@cpeauxdeuxpignons.com,QC,INSTALLATION LE COLOMBIER,CPE,3 - Capitale-Nationale,"889, avenue du Bon-Air",CR,(418) 681-3654,(418) 681-7218
Québec,G1C 1A1,15,75,3,coliva@cpelacourtepointe.ca,QC,INSTALLATION LES POUCES VERTS,CPE,3 - Capitale-Nationale,"2101, boulevard Louis-XIV",CR,(418) 667-4933,
Québec,G1V 4H8,20,80,3,direction@cpecourdemistigri.com,QC,INSTALLATION MISTIGRI 1,CPE,3 - Capitale-Nationale,"990, avenue Roland-Beaudin",CR,(418) 654-4372,(418) 654-4213
Québec,G1V 4H8,0,62,3,direction@cpecourdemistigri.com,QC,INSTALLATION MISTIGRI 2,CPE,3 - Capitale-Nationale,"980, avenue Roland-Beaudin",CR,(418) 654-4372,(418) 654-4213
Québec,G1W 1E9,10,62,3,dg@cpemesamismillepattes.ca,QC,INSTALLATION MOI ET MES AMIS,CPE,3 - Capitale-Nationale,"2615, rue Jean-Brillant",CR,(418) 650-1051,(418) 650-7869
Québec,G1J 1B1,20,80,3,coliva@cpelacourtepointe.ca,QC,INSTALLATION POMME CANNELLE,CPE,3 - Capitale-Nationale,"2003, rue Désilets",CR,(418) 667-4933,(418) 667-4933
Québec,G1C 3P7,12,80,3,information@cpeseigneuriale.com,QC,INSTALLATION TURLUSON,CPE,3 - Capitale-Nationale,"325, rue Seigneuriale",CR,(418) 663-3841,(418) 663-6847
Québec,G1K 2J3,10,60,3,c.cournoyer@cpelanseauxlievres.com,QC,JARDIN D'ENFANTS DUROCHER,CPE,3 - Capitale-Nationale,"390, rue Arago Ouest",CR,(418) 524-8551,
Québec,G1E 2C5,10,62,3,info@lenvoleecpe.com,QC,"L'ENVOLÉE, CENTRE DE LA PETITE ENFANCE DE BEAUPORT",CPE,3 - Capitale-Nationale,"789, boulevard des Chutes",CR,(418) 821-0022,(418) 821-6912
Québec,G1K 9M2,10,26,3,c.cournoyer@cpelanseauxlievres.com,QC,L'ETOILE DES MERES,CPE,3 - Capitale-Nationale,"73, rue de la Pointe-aux-Lièvres",CR,(418) 524-9265,
Québec,G2G 1B6,14,74,3,oasisdesboutchoux@gmail.com,QC,L'OASIS DES BOUT-CHOUX,GARD,3 - Capitale-Nationale,"7069, boulevard Wilfrid-Hamel",,(418) 670-1909,(418) 871-4808
Québec,G1V 0A6,0,26,3,cpelapetitecite@cpelapetitecite.ulaval.ca,QC,L'UNIVERS DES ENFANTS,CPE,3 - Capitale-Nationale,"2255, de l'Université, Pav. Alphonse-Marie Parent, local 1718, UL",CR,(418) 656-2323,(418) 656-5214
Québec,G1E 1X1,10,45,3,patricia.richard@cpelaritournelle.ca,QC,LA BERCELLE,CPE,3 - Capitale-Nationale,"3535, chemin Royal",CR,(418) 663-1366,(418) 663-2346
Québec,G1V 0A6,14,80,3,cpelapetitecite@cpelapetitecite.ulaval.ca,QC,LA CHARMILLE,CPE,3 - Capitale-Nationale,"2425, allée de l'Université, Université Laval",CR,(418) 656-2323,(418) 656-5214
Québec,G3J 1N5,10,62,3,dgcpe@lescoquinsdabord.com,QC,LA COQUINABULE,CPE,3 - Capitale-Nationale,"1818, boulevard Pie-XI Nord",CR,(418) 840-2122,(418) 840-1273
Québec,G2K 0H8,10,36,3,francequirion@hotmail.com,QC,LA GARDERIE DU MESNIL,GARD,3 - Capitale-Nationale,"8295, Marie-De Lamarre",CR,(418) 624-2920,
Québec,G1C 4W6,0,36,3,garderielarue@gmail.com,QC,LA GARDERIE LES SAISONS MAGIQUES,GARD,3 - Capitale-Nationale,"2195, avenue Larue",CR,(418) 663-1625,(418) 663-1625
Québec,G1R 5E5,14,80,3,direction@cpelacroisee.ca,QC,LA GRIMACE,CPE,3 - Capitale-Nationale,"600, rue Jacques-Parizeau",CR,(418) 523-5213,(418) 523-6110
Québec,G1G 2S9,0,41,3,famillepbedard@bell.net,QC,LA JUNGLE ENCHANTÉE INC.,GARD,3 - Capitale-Nationale,"8840, avenue Villeneuve",,(418) 626-9393,
Québec,G3K 2S3,0,52,3,dgcpe@lescoquinsdabord.com,QC,LA NICHE À COQUINS,CPE,3 - Capitale-Nationale,"1015, boulevard Pie-XI Nord",CR,(418) 840-2122,(418) 840-1273
Québec,G1C 3P9,10,66,3,sandie@zonefamille.com,QC,LA P'TITE ZONE FAMILLE BEAUPORT INC.,GARD,3 - Capitale-Nationale,"344, rue Seigneuriale",,(418) 660-9582,
Québec,G2N 1E3,0,34,3,laptiteecolesportive@gmail.com,QC,LA P'TITE ÉCOLE SPORTIVE,GARD,3 - Capitale-Nationale,"876, rue Jacques-Bédard",,(418) 849-6357,
Québec,G3K 1G2,10,70,3,pierrel20101@hotmail.com,QC,LA PETITE ÉCOLE ANGLAISE (VAL-BÉLAIR) INC.,GARD,3 - Capitale-Nationale,"1358, avenue de l'Amiral",,(418) 915-7770,
Québec,G2K 2N1,10,62,3,melissa@pefilante.com,QC,LA PETITE ÉCOLE FILANTE IMMERSION ANGLAISE,GARD,3 - Capitale-Nationale,"1300, boulevard Lebourgneuf, local 205",,(418) 806-7602,
Québec,G3E 1L1,0,35,3,petiteecolemontessori@yahoo.ca,QC,LA PETITE ÉCOLE INTERNATIONALE MONTESSORI,GARD,3 - Capitale-Nationale,"1692, rue Soret",,(418) 845-8293,
Québec,G2M 0C9,10,80,3,cjacques@petiteecolevision.com,QC,LA PETITE ÉCOLE VISION LAC-BEAUPORT INC.,GARD,3 - Capitale-Nationale,"360, boulevard du Lac, bureau 202",,(418) 849-8464,(418) 849-5292
Québec,G1S 0B3,0,80,3,sillery@petiteecolevision.com,QC,LA PETITE ÉCOLE VISION SILLERY INC.,GARD,3 - Capitale-Nationale,"1285, chemin Sainte-Foy",,(581) 742-9886,(418) 682-2475
Québec,G2N 1X7,10,61,3,cpelespetitsmulots@cpelespetitsmulots.com,QC,LA RIBAMBELLE DES SOURICEAUX,CPE,3 - Capitale-Nationale,"791, rue de Sherwood, bureau B",CR,(418) 841-4226,(418) 841-0118
Québec,G1S 1V3,15,80,3,nolwennrobinet@gmail.com,QC,LA VILLA MONTESSORI,GARD,3 - Capitale-Nationale,"1045, boulevard René-Lévesque ouest",,,
Québec,G1X 2H3,13,65,3,jardindesanges@videotron.ca,QC,"LE JARDIN DES ANGES ""A"" INC.",GARD,3 - Capitale-Nationale,"3459, rue Rochambeau",CR,(418) 651-3002,(418) 651-3021
Québec,G1C 7B7,15,80,3,direction@lemondedesfrimousses.com,QC,LE MONDE DES FRIMOUSSES,GARD,3 - Capitale-Nationale,"660, rue Adanac",,"(581) 742-7990, poste 2",
Québec,G1E 3X8,15,79,3,direction@lemondedesfrimousses.com,QC,LE MONDE DES FRIMOUSSES INC.,GARD,3 - Capitale-Nationale,"2160, avenue Saint-Edouard",,(581) 742-7990,
Québec,G1M 2E4,30,79,3,robine_k@hotmail.com,QC,LE MONDE DES P'TITS SPORTIFS,GARD,3 - Capitale-Nationale,"655, boulevard Pierre-Bertrand",,(418) 622-6666,
Québec,G2G 1C3,10,70,3,leparadisdemarie@gmail.com,QC,LE PARADIS DE MARIE INC.,GARD,3 - Capitale-Nationale,"7671, boulevard Wilfrid-Hamel",,(418) 977-2999,
Québec,G1V 0A6,10,50,3,cpelapetitecite@cpelapetitecite.ulaval.ca,QC,LE PETIT CAMPUS,CPE,3 - Capitale-Nationale,"2300, rue de la Terrasse",CR,(418) 656-3300,(418) 656-5214
Québec,G1T 1S6,0,44,3,mdube@cjmds.qc.ca,QC,LE PETIT COLLÈGE JÉSUS-MARIE,GARD,3 - Capitale-Nationale,"2027, rue du Père-Massé",,"(418) 687-9250, poste 302",
Québec,G2K 2L2,10,46,3,FranceQuirion@hotmail.com,QC,LE PETIT MONDE DES PRÉS-VERTS,GARD,3 - Capitale-Nationale,"8295, Marie-De Lamarre",,(418) 554-2920,
Québec,G1H 6Z5,10,78,3,cpelespetitsmulots@cpelespetitsmulots.com,QC,LE RAT CONTEUR,CPE,3 - Capitale-Nationale,"905, rue de Nemours, local 15",CR,"(418) 623-9643, poste 224",
Québec,G1C 3N8,10,80,3,admin@zacasurprises.com,QC,LE ZAC À SURPRISES INC.,GARD,3 - Capitale-Nationale,"24, rue Cyr",,(418) 704-1177,
Québec,G2K 2K1,15,80,3,serge.morin@allomonami.com,QC,LES AMIS DU MESNIL,CPE,3 - Capitale-Nationale,"6300, rue du Courtil",CR,(418) 624-7035,(418) 624-0071
Québec,G3K 1L2,10,46,3,dgcpe@lescoquinsdabord.com,QC,LES COQUINOTS,CPE,3 - Capitale-Nationale,"1045, boulevard Pie-XI Sud",CR,(418) 840-2122,(418) 840-1273
Québec,G1P 2J9,0,78,3,sv.paquin@montessoriquebec.com,QC,LES EXPLORATEURS MONTESSORI INC.,GARD,3 - Capitale-Nationale,"4640, boulevard Wilfrid-Hamel, local 110",,(581) 983-1225,
Québec,G1V 1E8,10,48,3,garderielesgenies@hotmail.com,QC,LES GÉNIES,GARD,3 - Capitale-Nationale,"2502, avenue Montbray",,(418) 262-0090,
Québec,G1G 4E6,19,29,3,garderie@jdje.info,QC,LES JOYEUX DAUPHINS,GARD,3 - Capitale-Nationale,"9430, boulevard Henri-Bourassa",,(418) 626-9074,
Québec,G1L 3M5,10,44,3,direction@cpelacroisee.ca,QC,LES PETITES SAISONS,CPE,3 - Capitale-Nationale,"2000, 1re Avenue",CR,(418) 647-2543,(418) 647-4969
Québec,G1L 1P9,10,38,3,ka_leclerc@hotmail.com,QC,LES TIMOILOUS,GARD,3 - Capitale-Nationale,"212, rue des Lilas Est",,(418) 624-0040,
Québec,G1J 2S4,4,15,3,ka_leclerc@hotmail.com,QC,LES TIMOILOUS,GARD,3 - Capitale-Nationale,"510, 6ième Rue",,(418) 523-7272,
Québec,G1L 3G6,10,18,3,ka_leclerc@hotmail.com,QC,LES TIMOILOUS,GARD,3 - Capitale-Nationale,"3480, 2e avenue",,(418) 930-1606,
